Nome da atividade,Nome do projeto,Horas orçadas para execução,Mês execução,Prazo de entrega,Status da atividade,OBS,Link
Planejamento Inicial,Projeto Alpha,20,Janeiro,20/01/2025,Em Andamento,Ajustar cronograma final,https://link1.com
Desenvolvimento API,Projeto Beta,50,Fevereiro,15/02/2025,Não Iniciada,Dependência de documentação,https://link2.com
Testes de Integração,Projeto Gamma,30,Março,05/03/2025,Pendente,Aguardar entrega da API,https://link3.com
Revisão Geral,Projeto Delta,10,Abril,10/04/2025,Concluída,Tudo dentro do prazo,https://link4.com
Criação de Wireframes,Projeto Alpha,15,Janeiro,25/01/2025,Em Andamento,Validar com cliente,https://link5.com
Implementação Front-End,Projeto Beta,40,Fevereiro,28/02/2025,Não Iniciada,Aguardando design final,https://link6.com
Reunião com Stakeholders,Projeto Gamma,5,Março,10/03/2025,Pendente,Confirmar data no calendário,https://link7.com
Correção de Bugs,Projeto Alpha,25,Abril,20/04/2025,Em Andamento,Priorizar criticidade alta,https://link8.com
Entrega Final,Projeto Delta,10,Maio,05/05/2025,Pendente,Revisar checklist final,https://link9.com
Documentação Final,Projeto Beta,8,Maio,15/05/2025,Não Iniciada,Consolidar dados de todas as etapas,https://link10.com
Definição de Requisitos,Projeto Gamma,18,Janeiro,18/01/2025,Em Andamento,Aguardar feedback do cliente,https://link11.com
Treinamento da Equipe,Projeto Alpha,12,Fevereiro,22/02/2025,Pendente,Agendar data para todos,https://link12.com
Análise de Dados,Projeto Delta,35,Março,25/03/2025,Não Iniciada,Aguardar coleta de dados,https://link13.com
Criação de Prototipo,Projeto Beta,20,Abril,12/04/2025,Em Andamento,Validar com equipe técnica,https://link14.com
Planejamento Estratégico,Projeto Gamma,16,Maio,30/05/2025,Pendente,Revisar objetivos estratégicos,https://link15.com
Atualização do Sistema,Projeto Alpha,45,Junho,15/06/2025,Não Iniciada,Confirmar versão a ser usada,https://link16.com
Configuração de Servidores,Projeto Beta,28,Julho,20/07/2025,Em Andamento,Garantir redundância nos backups,https://link17.com
Elaboração de Relatório Final,Projeto Delta,10,Agosto,25/08/2025,Não Iniciada,Consolidar resultados do projeto,https://link18.com
Auditoria de Processos,Projeto Gamma,18,Setembro,15/09/2025,Pendente,Revisar conformidade,https://link19.com
Monitoramento de KPIs,Projeto Alpha,22,Outubro,10/10/2025,Em Andamento,Validar métricas prioritárias,https://link20.com
Workshop de Ferramentas,Projeto Beta,15,Novembro,20/11/2025,Pendente,Confirmar palestrantes,https://link21.com
Criação de Dashboards,Projeto Delta,25,Dezembro,30/12/2025,Não Iniciada,Obter feedback inicial,https://link22.com
Suporte Técnico,Projeto Alpha,30,Janeiro,15/01/2026,Em Andamento,Foco em problemas críticos,https://link23.com
Melhoria de UX,Projeto Gamma,18,Fevereiro,10/02/2026,Pendente,Aguardar novos protótipos,https://link24.com
Otimização de Código,Projeto Beta,40,Março,28/03/2026,Não Iniciada,Focar nos módulos principais,https://link25.com
Teste de Performance,Projeto Delta,20,Abril,10/04/2026,Em Andamento,Registrar benchmarks,https://link26.com
Capacitação Interna,Projeto Alpha,12,Maio,15/05/2026,Pendente,Treinar nova equipe,https://link27.com
Manutenção de Sistema,Projeto Beta,45,Junho,30/06/2026,Não Iniciada,Planejar downtime,https://link28.com
Apresentação Final,Projeto Gamma,15,Julho,20/07/2026,Concluída,Documentar principais resultados,https://link29.com
Encerramento de Projeto,Projeto Delta,10,Agosto,05/08/2026,Concluída,Revisar todos os itens entregues,https://link30.com