Nome da atividade,Título tarefa projeto,Horas orçada,Mes execução,Prazo de entrega,Status da atividade,OBS,Link app,Link Fibbo,Link cliente,Mês de execução,Somatória de horas orçadas,Horas executadas,Horas em Haver,Pacote de Horas,Saldo de horas
Adicionar possibilidade de avaliação e comentário nos posts,,,,,Finalizada,Plugin em produção liberado somente no dia 29/10,https://app.liveseo.com.br/projeto/CB516/task/7586/121385,https://app.liveseo.com.br/projeto/LS008/task/6288/139600,https://cliente.liveseo.com.br/#/project/CB516/task/7586/121385,01/09/2024,0,2,18,20,30
"[BLOG] Corrigir estrutura de headings da home, posts e demais páginas",,3,10/2024,01/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/7586/116069,https://app.liveseo.com.br/projeto/LS008/task/6288/157681,https://cliente.liveseo.com.br/#/project/CB516/task/7586/116069,26/12/1899,24,24,-4,,
Adição de H1 e H2 + ajustes do breadcrumb,[NOTÍCIAS] Solicitar a adição de H1 e H2 para a home do notícias produzido pelo time de conteúdo,6,10/2024,01/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/10096/155418,https://app.liveseo.com.br/projeto/LS008/task/6288/155700,https://cliente.liveseo.com.br/#/project/CB516/task/10096/155418,04/01/1900,15,,5,,
[Blog] Aplicar h1 produzidos pelo time de conteúdo,[BLOG] Adicionar H1 de todas as páginas do blog,4,10/2024,01/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/10096/157346,https://app.liveseo.com.br/projeto/LS008/task/6288/157764,https://cliente.liveseo.com.br/#/project/CB516/task/10096/157346,10/01/1900,9,9,11,,
Implementar recategorização do /noticias no site da Uniasselvi,[NOTICIAS] Implementar a estrutura de árvore de categorias ideal no /noticias,5,10/2024,01/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/7586/131968,https://app.liveseo.com.br/projeto/LS008/task/6288/158176,https://cliente.liveseo.com.br/#/project/CB516/task/7586/131968,,0,,,,
Implementar correção de canonicals nas paginações do /noticias,,2,10/2024,01/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/7587/157655,https://app.liveseo.com.br/projeto/LS008/task/6288/158553,https://cliente.liveseo.com.br/#/project/CB516/task/7587/157655,,0,,,,
[SITE] Corrigir headings das páginas de curso,,2,11/2024,15/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/7584/158316,https://app.liveseo.com.br/projeto/LS008/task/6288/158317,https://cliente.liveseo.com.br/#/project/CB516/task/7584/158316,,0,,,,
[sub-task] Corrigir o CLS da home so site,[sub-task] Corrigir o CLS da home so site,4,11/2024,15/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/7588/158832,https://app.liveseo.com.br/projeto/LS008/task/6288/158842,https://cliente.liveseo.com.br/#/project/CB516/task/7588/158832,,0,,,,
[SITE] Corrigir headings da home do site,,2,11/2024,29/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/7584/154558,https://app.liveseo.com.br/projeto/LS008/task/6288/159182,https://cliente.liveseo.com.br/#/project/CB516/task/7584/154558,,0,,,,
[sub-task] Corrigir o CLS da página de listagem de curso,[sub-task] Corrigir o CLS da página de listagem de curso,3,11/2024,29/11,Finalizada,,https://app.liveseo.com.br/projeto/CB516/task/7588/159194,https://app.liveseo.com.br/projeto/LS008/task/6288/159193,https://cliente.liveseo.com.br/#/project/CB516/task/7588/159194,,0,,,,
[sub-task] Corrigir o LCP da home so site,[sub-task] Corrigir o LCP da home so site,8,11/2024,12/2024,Finalizada,restante das horas,https://app.liveseo.com.br/projeto/CB516/task/7588/159379,https://app.liveseo.com.br/projeto/LS008/task/6288/159381,https://cliente.liveseo.com.br/#/project/CB516/task/7588/159379,,0,,,,
[NOTICIAS] Analisar e selecionar posts para sessão de destaques da Uniasselvi,[NOTICIAS] Analisar e selecionar posts para sessão de destaques da Uniasselvi,6,12/2024,,Finalizada,Prio 1,https://app.liveseo.com.br/projeto/CB516/task/7587/159338,https://app.liveseo.com.br/projeto/LS008/task/6288/159826,https://cliente.liveseo.com.br/#/project/CB516/task/7587/159338,,0,,,,
Backlog,,,,,,,,,,,0,,,,
[BLOG] Otimizar o footer do blog,[BLOG] Otimizar o footer do blog,8,12/2024,,GMUD aberto,,https://app.liveseo.com.br/projeto/CB516/task/7584/154556,https://app.liveseo.com.br/projeto/LS008/task/6288/159696,https://cliente.liveseo.com.br/#/project/CB516/task/7584/154556,,0,,,,
"Construir CPT para implementação customizada nos artigos do blog, permitindo levar o usuário para conteúdos e outros materiais da instituição",[BLOG] Criar CPT para inserção de banners em post,6,01/2025,,Em andamento,,https://app.liveseo.com.br/projeto/CB516/task/7324/163130,https://app.liveseo.com.br/projeto/LS008/task/9388/163132,https://cliente.liveseo.com.br/#/project/CB516/task/7324/163130,,,,,,
[sub-task] Corrigir problema de LCP no template de listagem de cursos,[sub-task] Corrigir problema de LCP no template de listagem de cursos,5,01/2025,,Em andamento,,https://app.liveseo.com.br/projeto/CB516/task/7588/163377,https://app.liveseo.com.br/projeto/LS008/task/6288/163459,https://cliente.liveseo.com.br/#/project/CB516/task/7588/163377,,,,,,
[sub-task] Corrigir problema de LCP no template de alunos e candidatos ,[sub-task] Corrigir problema de LCP no template de alunos e candidatos ,5,01/2025,,Em andamento,,https://app.liveseo.com.br/projeto/CB516/task/7588/163448,https://app.liveseo.com.br/projeto/LS008/task/6288/163461,https://cliente.liveseo.com.br/#/project/CB516/task/7588/163448,,,,,,
,,,,, ,,,,,,,,,,